Year Acquired,Year Constructed
1975,1975
2004,2004
2004,2004
2004,2004
2004,2004
2004,2004
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
1999,1999
1980,1980
2000,2000
2000,2000
1997,1997
2000,2000
2000,2000
1976,1976
2000,2000
1980,1980
1994,1994
2001,2001
2001,2001
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
1993,1993
1972,1970
1970,1970
2001,2001
2001,2001
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2001,2001
1996,1977
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2002,2002
2001,2001
2001,2001
2001,2001
2001,2001
2001,2001
2006,2006
2001,2001
2000,1990
1988,1988
1988,1988
1998,1998
1993,1993
1998,1998
1976,1976
1981,1981
1995,1995
1988,1988
1988,1890
1988,1988
1995,1995
1993,1993
1988,1894
1995,1995
2000,1896
1996,1990
2000,2000
2001,2001
2000,2000
2000,2000
2000,2000
2001,2001
2001,2001
2000,2000
2002,2002
2002,2002
2001,2001
2001,2001
1997,1997
2001,2001
2001,2001
1987,1987
1985,1985
2001,2001
2001,2001
2001,2001
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2001,2001
2002,2001
2002,2001
2000,2000
2001,2001
2002,2002
2002,2002
2002,2002
2002,2002
2001,2001
1930,1753
1930,1753
1986,1753
1986,1753
1930,1753
1956,1841
1956,1841
1994,1994
1972,1972
1972,1972
1972,1972
1972,1972
1972,1972
1972,1972
1972,1972
1972,1972
1973,1973
1973,1973
1973,1973
1973,1973
1964,1860
2001,2001
2001,2001
2001,2001
2000,2000
2002,2002
2003,1986
2001,2001
2001,2001
2001,2001
2001,2001
1982,1930
2002,2002
2002,2002
2001,2001
2001,2001
1966,1966
2001,2001
1970,1970
2001,2001
2001,2001
2001,2001
2001,2001
2001,2001
2001,2001
2002,2002
2002,2002
2002,2002
2002,2002
2002,2002
2002,2002
2002,2002
2002,2002
2002,2002
1946,1946
1960,1960
2000,2000
2002,2002
1942,1942
2001,2001
2001,2001
2002,2002
2002,2002
2001,2001
2001,2001
2001,2001
2001,2001
1980,1980
2002,2002
2002,2002
1975,1975
2002,2002
2002,2002
2002,2002
2002,2002
2000,1983
1981,1981
1975,1975
2000,2000
2000,2000
1990,1990
1990,1990
1996,1996
1996,1996
1981,1981
1990,1990
1990,1990
1990,1990
1990,1990
1990,1990
1990,1990
2002,2002
2001,2001
1994,1996
1978,1978
1980,1980
2001,2001
2001,2001
2001,2001
2001,2001
2001,2001
2002,2002
2002,2002
2000,1973
2000,1972
2000,1979
2000,1983
